['招考职位由招录机关编报，招录专业、学历等与职位资格条件相关的问题，由招录机关负责解释。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']

['招考职位由招录机关编报，招录专业、学历等与职位资格条件相关的问题，由招录机关负责解释。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']

['招考职位由招录机关编报，招录专业、学历等与职位资格条件相关的问题，由招录机关负责解释。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']

['127116', '审计署驻深圳特派员办事处', '审计署驻深圳特派员办事处', '中央国家行政机关省级以下直属机构', '审计业务处一级主任科员及以下', '普通职位', '其他职位', '从事政府审计工作', '300110001001', '市（地）级', '市（地）级及以下直属机构职位', '3', '会计审计类，金融学', '仅限硕士研究生', '硕士', '中共党员', '无限制', '无限制', '是', '3:1', '广东省深圳市', '广东省深圳市', '仅限应届毕业生；硕士研究生期间为金融学专业，本科专业须为会计学、审计学、财务管理或计算机类专业；专业能力测试范围为审计人员履行职责必需的相关专业知识和技能，占综合总成绩15%；本岗位需长期出差。', 'http://www.audit.gov.cn', '0755-83940180', '0755-839407639', '']

['招考职位由招录机关编报，招录专业、学历等与职位资格条件相关的问题，由招录机关负责解释。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']

['154119', '中国银行保险监督管理委员会广东监管局', '珠海银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监财经类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400144201001', '市（地）级', '市（地）级及以下直属机构职位', '1', '经济学类、金融学类', '仅限硕士研究生', '硕士', '不限', '无限制', '无限制', '否', '3:1', '广东省珠海市', '广东省珠海市', '1.仅限应届毕业生报考；2.具有国家英语六级证书或国家英语六级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '珠海银保监分局', '中央国家行政机关参照公务员法管理事业单位', '财会部门一级主任科员及以下', '银保监财会类职位', '其他职位', '主要从事内部财会管理工作及相关监管工作', '400145201001', '市（地）级', '市（地）级及以下直属机构职位', '1', '会计、审计、财务管理', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省珠海市', '广东省珠海市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '揭阳银保监分局', '中央国家行政机关参照公务员法管理事业单位', '财会部门一级主任科员及以下', '银保监财会类职位', '其他职位', '主要从事内部财会管理工作及相关监管工作', '400145203001', '市（地）级', '市（地）级及以下直属机构职位', '1', '会计、审计、财务管理', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省揭阳市', '广东省揭阳市', '1.仅限应届毕业生报考；2.具有国家英语四级证书或国家英语四级成绩在425分以上；3.请考生报考时在备注栏注明已获得的英语等级证书及成绩；4.有关专业考试信息请参见银保监会网站2021年度招考公告。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

