['127116', '审计署驻深圳特派员办事处', '审计署驻深圳特派员办事处', '中央国家行政机关省级以下直属机构', '审计业务处一级主任科员及以下', '普通职位', '其他职位', '从事政府审计工作', '300110001002', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机科学与技术', '本科或硕士研究生', '与最高学历相对应的学位', '中共党员', '无限制', '无限制', '是', '3:1', '广东省深圳市', '广东省深圳市', '仅限应届毕业生；专业能力测试范围为审计人员履行职责必需的相关专业知识和技能，占综合总成绩10%：本岗位需长期出差。', 'http://www.audit.gov.cn', '0755-83940180', '0755-839407639', '']

['154119', '中国银行保险监督管理委员会广东监管局', '珠海银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作。', '400147201001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省珠海市', '广东省珠海市', '1.仅限应届毕业生报考；2.本单位最低服务年限为5年（含试用期）；3.大学英语四级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；4.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '揭阳银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147203001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省揭阳市', '广东省揭阳市', '1.仅限应届毕业生报考；2.本单位无集体户口，考生需根据当地政策自行办理落户；3.大学英语四级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；4.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '梅州银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147207001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机科学与技术类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省梅州市', '广东省梅州市', '1.仅限应届毕业生报考；2.大学英语四级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；3.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '佛山银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147213001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '本科及以上', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省佛山市', '广东省佛山市', '1.仅限应届毕业生报考；2.本科学历大学英语四级60分（100分制）或425分（710分制）及以上，研究生学历大学英语六级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；3.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '湛江银保监分局', '中央国家行政机关参照公务员法管理事业单位', '监管部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险非现场监管、现场检查及其他监管综合工作', '400147215001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '仅限本科', '学士', '不限', '无限制', '无限制', '否', '3:1', '广东省湛江市', '广东省湛江市', '1.仅限应届毕业生报考；2.大学英语四级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；3.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '茂名银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147216001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '本科及以上', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省茂名市', '广东省茂名市', '1.仅限应届毕业生报考；2.本科学历大学英语四级60分（100分制）或425分（710分制）及以上，研究生学历大学英语六级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；3.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '肇庆银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147218001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机科学与技术、软件工程、网络工程', '本科及以上', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省肇庆市', '广东省肇庆市', '1.仅限应届毕业生报考；2.本科学历大学英语四级60分（100分制）或425分（710分制）及以上，研究生学历大学英语六级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；3.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

['154119', '中国银行保险监督管理委员会广东监管局', '云浮银保监分局', '中央国家行政机关参照公务员法管理事业单位', '统计信息部门一级主任科员及以下', '银保监计算机类职位', '其他职位', '主要从事银行保险信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作', '400147219001', '市（地）级', '市（地）级及以下直属机构综合管理类', '1', '计算机类', '本科及以上', '与最高学历相对应的学位', '不限', '无限制', '无限制', '否', '3:1', '广东省云浮市', '广东省云浮市', '1.仅限应届毕业生报考；2.本岗位长期出差，适合男性；3.本科学历大学英语四级60分（100分制）或425分（710分制）及以上，研究生学历大学英语六级60分（100分制）或425分（710分制）及以上，并在外语水平一栏注明已获得的英语等级证书及成绩；4.有关专业考试信息参见银保监会2022年度考试大纲。', 'http://www.cbirc.gov.cn/', '020-83180132', '020-83180121', '']

